wavenumber,k1,k2,k3
1085.7,1.4719,0.58193,1.4068
1087.7,1.5483,0.57422,1.4034
1089.6,1.6217,0.56757,1.3984
1091.5,1.6885,0.56202,1.392
1093.5,1.7459,0.55758,1.3843
1095.4,1.7924,0.5543,1.3746
1097.3,1.8274,0.55222,1.3622
1099.2,1.8508,0.55142,1.3466
1101.2,1.8635,0.55196,1.3276
1103.1,1.8662,0.55392,1.3053
1105,1.8604,0.55738,1.2799
1107,1.8472,0.5624,1.2515
1108.9,1.8281,0.56907,1.2206
1110.8,1.8041,0.57745,1.1875
1112.7,1.7764,0.58762,1.1525
1114.7,1.7459,0.59963,1.1158
1116.6,1.7132,0.61354,1.0776
1118.5,1.6791,0.62937,1.0383
1120.5,1.644,0.64709,0.99793
1122.4,1.6082,0.66656,0.9568
1124.3,1.572,0.68751,0.91525
1126.2,1.5357,0.70949,0.8738
1128.2,1.4995,0.73196,0.83296
1130.1,1.4634,0.75439,0.79326
1132,1.4276,0.77645,0.75495
1134,1.3921,0.79792,0.71819
1135.9,1.3571,0.81874,0.68293
1137.8,1.3225,0.83883,0.64915
1139.7,1.2884,0.85812,0.61675
1141.7,1.2549,0.87652,0.58574
1143.6,1.222,0.89391,0.55606
1145.5,1.1898,0.91017,0.52776
1147.5,1.1583,0.92519,0.50081
1149.4,1.1277,0.93889,0.47525
1151.3,1.0982,0.95125,0.45105
1153.2,1.0699,0.96232,0.42823
1155.2,1.0431,0.97224,0.40673
1157.1,1.0179,0.98128,0.38648
1159,0.99443,0.98977,0.36739
1161,0.97274,0.99802,0.34935
1162.9,0.95252,1.0062,0.33221
1164.8,0.93327,1.014,0.31592
1166.7,0.9142,1.0206,0.3004
1168.7,0.89448,1.0248,0.28568
1170.6,0.87334,1.0252,0.27178
1172.5,0.85035,1.0212,0.25875
1174.5,0.82535,1.0126,0.24659
1176.4,0.79856,1.0001,0.23531
1178.3,0.77028,0.98418,0.22486
1180.2,0.74098,0.96581,0.21519
1182.2,0.71101,0.94559,0.20623
1184.1,0.68074,0.92401,0.19793
1186,0.65041,0.90142,0.19023
1188,0.62028,0.87809,0.18307
1189.9,0.59048,0.85419,0.1764
1191.8,0.56119,0.82988,0.17018
1193.7,0.53253,0.80523,0.16437
1195.7,0.50465,0.78037,0.15893
1197.6,0.47765,0.75535,0.15384
1199.5,0.45168,0.73026,0.14905
1201.5,0.42682,0.70514,0.14456
1203.4,0.4032,0.68009,0.14032
1205.3,0.38085,0.65513,0.13633
1207.2,0.35984,0.63036,0.13257
1209.2,0.34016,0.60582,0.12901
1211.1,0.32182,0.58161,0.12565
1213,0.30476,0.55776,0.12246
1215,0.28894,0.53438,0.11943
